time,vehicle_count,avg_speed,speed_std,avg_acceleration,acc_std,avg_co2,avg_fuel,sudden_brake_count
929,215,5.049950670174761,7.457711220893386,0.06705301023792157,1.3757276779127567,2708.913761766735,878.1938048684978,14
930,216,5.142613158050057,7.503075523430024,0.11604188912610527,1.2858409046672485,2666.7832119721943,864.5360074524549,10
931,217,5.152097976908489,7.411619058725215,0.033183497006128035,1.3818822431741886,2607.5580432283646,845.3364426723983,14
932,217,5.272392826341193,7.5325715573786916,0.1660328353403947,1.3194199484254887,2921.803253761072,947.2086185934345,10
933,217,5.226460241849013,7.472114762560539,0.021720426198733506,1.4550043562065835,2655.9789848592936,861.0331628946549,16
934,218,5.335063296731599,7.578474834458138,0.13257764314794895,1.4063689864924518,2850.303152492536,924.029275061002,13
935,219,5.397798695450025,7.623531923571731,0.08709641833820538,1.2310710757993915,2592.099423646035,840.3249205839955,8
936,218,5.327836078475015,7.527465661788249,0.07055169515879015,1.3896880567195473,2699.544057829856,875.1562509825656,12
937,219,5.435903630398095,7.576566061102248,0.13239557054625337,1.44464114850916,2904.652224840146,941.648684735285,13
938,220,5.535636227875685,7.647040417238476,0.12444125034303577,1.4930767220969308,3010.198305878676,975.8642352987816,16
939,219,5.37667334224789,7.557701406460161,-0.008698182376826447,1.5157188401016772,2790.095105087851,904.5103985736341,18
940,217,4.979722415374088,7.222781276879725,-0.20739645292035433,1.490951422682041,2231.44349111905,723.4068053384611,20
941,218,4.790003356277667,7.0835303655096356,-0.16687629572314547,1.5156854134775026,2262.2393569082715,733.3907918728745,19
942,219,4.847211774403115,7.099018083533197,0.07908057956963806,1.3219771113995482,2570.798528876518,833.4196350800329,12
943,217,4.668872814045756,7.010930054365706,0.02474000260625426,1.27717511179367,2480.153145705837,804.0344032336419,12
944,216,4.599975662578505,7.049966560912434,-0.03169052436030993,1.2961429834667038,2357.934684339898,764.4143126825019,14
945,215,4.646723349643162,7.181325916353803,0.08772577072715118,1.2848053391360934,2614.8426978621214,847.698556765002,11
946,214,4.6292088537463325,7.101590286951455,0.13047450352894502,1.2511547847620668,2660.437791919981,862.479459392296,9
947,214,4.688491941363375,7.094706479575667,0.1066934295865969,1.2090569311912411,2488.152069876659,806.6272822417989,9
948,214,4.513443736540192,6.926221208857685,-0.03564234381252098,1.4372609455797642,2437.858805066654,790.3234350125665,17
949,214,4.397899177713148,6.878351882418269,-0.023526823307631804,1.4923993156642816,2590.0833676317425,839.670417850889,18
950,214,4.333712231174875,6.978405291141373,-0.018218819545707057,1.405689737468437,2554.9156815602732,828.2694972332338,16
951,215,4.333289938015654,6.983776055426307,0.01973450791601073,1.2788614257556767,2377.2196523606444,770.6647179039879,11
952,216,4.320138685159928,7.021797795956139,0.006910274635086862,1.2249588608322928,2401.786213413148,778.6296299503682,11
953,216,4.169497407575783,6.816803127793512,-0.08361006760793126,1.3285703015905717,2118.2887124417134,686.7246988487349,14
954,218,4.04621595761902,6.634054534766351,-0.08502918016249003,1.3212983987181663,2160.0964630948433,700.2780533901325,14
955,219,4.048394082937903,6.588017483412664,0.020653997271481588,1.2937695043695168,2280.5417801645303,739.3240979340057,12
956,219,4.123535405562467,6.739636733581821,0.10396903276335452,1.1659521603278113,2483.8532636729224,805.2341125856365,9
